ts,symbol,side,entry,tp,sl,imbalance,spread,venue,sentiment,sentiment_score,macro,confidence
1756370318,XRP-USD,LONG,3.0014,3.04,2.98,1.0,-0.1333000000000002,BINANCEFUT,n/a,0.5,none,0.5
1756368246,ETH-USD,LONG,4604.0,4659.25,4576.38,1.0,-222.90000000000055,BINANCEFUT,n/a,0.5,none,0.5
1756359319,BTC-USD,LONG,112932.0,114287.18,112254.41,1.0,-3432.199999999997,BINANCEFUT,n/a,0.5,none,0.5
1756353961,ETH-USD,LONG,4540.37,4594.85,4513.13,1.0,-159.6300000000001,BINANCEFUT,n/a,0.5,none,0.5
1756326071,XRP-USD,LONG,3.00561,3.04,2.99,0.47849122263843497,-0.12740000000000018,BINANCEFUT,n/a,0.5,none,0.5
